id_personne;person_id;trip_id;departure_time;arrival_time;travel_time;following_purpose;is_commute;mode;preceeding_activity_index;following_activity_index
7430601000.0;2883;2.0;5.783333333333332;6.300663799383337;0.5173304660500051;work;True;car;2.0;3.0
7430601000.0;2883;3.0;14.25;14.528725282378478;0.2787252823784776;work;False;car;3.0;4.0
7430601000.0;2883;4.0;16.5;17.36080822388423;0.8608082238842307;home;False;car;4.0;5.0
7634601000.0;2884;1.0;12.0;12.164327591428576;0.16432759142857556;other;False;pt;1.0;2.0
7634601000.0;2884;2.0;14.0;14.164327591428576;0.16432759142857556;home;False;pt;2.0;3.0
40073901000.0;2973;1.0;8.5;8.758330767815218;0.25833076781521846;work;True;car;1.0;2.0
40073901000.0;2973;2.0;17.0;17.258330767815217;0.2583307678152167;home;False;car;2.0;3.0
40227404000.0;2974;1.0;7.666666666666668;7.7543054936784435;0.08763882701177561;education;True;pt;1.0;2.0
40227404000.0;2974;2.0;11.5;11.587638827011776;0.0876388270117765;home;False;pt;2.0;3.0
40227404000.0;2974;3.0;12.666666666666664;12.75430549367844;0.0876388270117765;education;False;pt;3.0;4.0
40227404000.0;2974;4.0;15.5;15.587638827011776;0.0876388270117765;home;False;pt;4.0;5.0
1755305000.0;2975;1.0;11.0;11.184236397055523;0.18423639705552297;shop;False;walk;1.0;2.0
1755305000.0;2975;2.0;11.5;11.684236397055523;0.18423639705552297;home;False;walk;2.0;3.0
5537905000.0;2976;1.0;7.333333333333332;7.816863383181339;0.4835300498480066;education;True;pt;1.0;2.0
5537905000.0;2976;2.0;15.75;16.233530049848007;0.4835300498480066;home;False;pt;2.0;3.0
12802101000.0;3039;1.0;7.0;7.359781569288923;0.3597815692889226;work;True;car;1.0;2.0
12802101000.0;3039;2.0;17.0;17.359781569288923;0.35978156928892346;home;False;car;2.0;3.0
12802101000.0;3039;3.0;19.0;19.309884945311513;0.3098849453115129;shop;False;car;3.0;4.0
12802101000.0;3039;4.0;19.75;19.82055368545101;0.07055368545101004;shop;False;car;4.0;5.0
12802101000.0;3039;5.0;20.5;20.747772234118354;0.24777223411835436;home;False;car;5.0;6.0
31233002000.0;3040;1.0;8.0;8.19203046133403;0.19203046133402957;work;True;car;1.0;2.0
31233002000.0;3040;2.0;18.0;18.192030461334028;0.1920304613340278;home;False;car;2.0;3.0
18188104000.0;3041;1.0;7.25;9.179088417468108;1.9290884174681082;education;True;pt;1.0;2.0
18188104000.0;3041;2.0;15.25;17.179088417468108;1.9290884174681082;home;False;pt;2.0;3.0
16680304000.0;3042;1.0;7.166666666666668;7.753610421044052;0.5869437543773843;education;True;pt;1.0;2.0
16680304000.0;3042;2.0;15.25;15.836943754377383;0.5869437543773834;home;False;pt;2.0;3.0
13769702000.0;3501;1.0;9.0;9.114388548377885;0.11438854837788526;leisure;False;walk;1.0;2.0
13769702000.0;3501;2.0;23.41666666666667;23.531055215044557;0.11438854837788526;home;False;walk;2.0;3.0
40311802000.0;3502;1.0;7.5;7.662456522183629;0.16245652218362938;education;True;car_passenger;1.0;2.0
40311802000.0;3502;2.0;15.5;15.662456522183628;0.1624565221836285;home;False;car_passenger;2.0;3.0
11652701000.0;3566;1.0;19.666666666666668;19.88636226917778;0.21969560251111275;work;True;car_passenger;1.0;2.0
11652701000.0;3566;2.0;23.91666666666667;24.136362269177784;0.21969560251111275;home;False;car_passenger;2.0;3.0
40154401000.0;3883;1.0;7.0;7.036699455036826;0.03669945503682559;shop;False;walk;1.0;2.0
40154401000.0;3883;2.0;7.166666666666668;7.396494471773012;0.22982780510634448;shop;False;walk;2.0;3.0
40154401000.0;3883;3.0;7.416666666666668;7.445374331148475;0.02870766448180717;leisure;False;walk;3.0;4.0
40154401000.0;3883;4.0;7.583333333333332;7.876429298505151;0.293095965171819;work;True;pt;4.0;5.0
40154401000.0;3883;5.0;13.333333333333336;15.726745009163468;2.393411675830132;other;False;walk;5.0;6.0
40154401000.0;3883;6.0;19.0;20.22654313010183;1.226543130101831;home;False;walk;6.0;7.0
40264602000.0;4131;1.0;8.25;8.353885382994914;0.10388538299491401;work;True;car;1.0;2.0
40264602000.0;4131;2.0;17.75;17.853885382994914;0.10388538299491401;home;False;car;2.0;3.0
40264602000.0;4131;3.0;18.25;18.38899604598693;0.1389960459869286;leisure;False;car;3.0;4.0
40264602000.0;4131;4.0;23.25;23.38899604598693;0.1389960459869286;home;False;car_passenger;4.0;5.0
16036002000.0;4132;1.0;7.0;8.391233795348567;1.3912337953485672;work;True;car;1.0;2.0
16036002000.0;4132;2.0;17.0;18.39123379534857;1.391233795348569;home;False;car;2.0;3.0
16036002000.0;4132;3.0;19.0;20.000508144691597;1.0005081446915973;other;False;car;3.0;4.0
16036002000.0;4132;4.0;22.5;23.500508144691597;1.0005081446915973;home;False;car;4.0;5.0
10744001000.0;4233;1.0;6.5;8.04604215420628;1.5460421542062797;work;True;pt;1.0;2.0
